query,chunking_method,retrieval_method,k,precision@k,recall@k,relevant_chunks_retrieved,unique_relevant_sources_retrieved,num_relevant_sources,retrieved_sources,retrieved_titles
What is the impact of LLMs on copyright?,fixed_size,bm25,3,0.3333333333333333,0.2,1,1,5,"['3709025.3712220.pdf', '3511265.3550444.pdf', '3709025.3712220.pdf']","['If You Give an LLM a Legal Practice Guide', ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity"", 'If You Give an LLM a Legal Practice Guide']"
What is the impact of LLMs on copyright?,fixed_size,bm25,5,0.4,0.4,2,2,5,"['3709025.3712220.pdf', '3511265.3550444.pdf', '3709025.3712220.pdf', '3614407.3643696.pdf', '3614407.3643706.pdf']","['If You Give an LLM a Legal Practice Guide', ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity"", 'If You Give an LLM a Legal Practice Guide', ""Talkin' 'Bout AI Generation"", 'Regulation of Algorithmic Collusion']"
What is the impact of LLMs on copyright?,fixed_size,hybrid,1,1.0,0.2,1,1,5,['3614407.3643696.pdf'],"[""Talkin' 'Bout AI Generation""]"
What is the impact of LLMs on copyright?,fixed_size,hybrid,3,1.0,0.4,3,2,5,"['3614407.3643696.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","[""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,fixed_size,hybrid,5,1.0,0.4,5,2,5,"['3614407.3643696.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","[""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,document_structure,similarity,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,document_structure,similarity,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,document_structure,similarity,5,1.0,0.6,5,3,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643696.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,document_structure,mmr,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,document_structure,mmr,3,1.0,0.6,3,3,5,"['3709025.3712208.pdf', '3614407.3643696.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,document_structure,mmr,5,1.0,0.6,5,3,5,"['3709025.3712208.pdf', '3614407.3643696.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3709025.3712208.pdf']","['Artificial Infringement', ""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", 'Artificial Infringement']"
What is the impact of LLMs on copyright?,document_structure,with_scores,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,document_structure,with_scores,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,document_structure,with_scores,5,1.0,0.6,5,3,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643696.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,document_structure,bm25,1,0.0,0.0,0,0,5,['3709025.3712220.pdf'],['If You Give an LLM a Legal Practice Guide']
What is the impact of LLMs on copyright?,document_structure,bm25,3,0.3333333333333333,0.2,1,1,5,"['3709025.3712220.pdf', '3511265.3550444.pdf', '3709025.3712216.pdf']","['If You Give an LLM a Legal Practice Guide', ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity"", 'Generating Case-Based Legal Arguments with LLMs']"
What is the impact of LLMs on copyright?,document_structure,bm25,5,0.2,0.2,1,1,5,"['3709025.3712220.pdf', '3511265.3550444.pdf', '3709025.3712216.pdf', '3709025.3712220.pdf', '3709025.3712220.pdf']","['If You Give an LLM a Legal Practice Guide', ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity"", 'Generating Case-Based Legal Arguments with LLMs', 'If You Give an LLM a Legal Practice Guide', 'If You Give an LLM a Legal Practice Guide']"
What is the impact of LLMs on copyright?,document_structure,hybrid,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,document_structure,hybrid,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,document_structure,hybrid,5,1.0,0.6,5,3,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643696.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,sentence,similarity,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,sentence,similarity,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3709025.3712208.pdf', '3614407.3643707.pdf']","['Artificial Infringement', 'Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,sentence,similarity,5,1.0,0.4,5,2,5,"['3709025.3712208.pdf', '3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","['Artificial Infringement', 'Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,sentence,mmr,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,sentence,mmr,3,1.0,0.6,3,3,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3511265.3550444.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity""]"
What is the impact of LLMs on copyright?,sentence,mmr,5,1.0,0.8,5,4,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3511265.3550444.pdf', '3614407.3643696.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity"", ""Talkin' 'Bout AI Generation"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,sentence,with_scores,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,sentence,with_scores,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3709025.3712208.pdf', '3614407.3643707.pdf']","['Artificial Infringement', 'Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,sentence,with_scores,5,1.0,0.4,5,2,5,"['3709025.3712208.pdf', '3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","['Artificial Infringement', 'Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,sentence,bm25,1,0.0,0.0,0,0,5,['3709025.3712220.pdf'],['If You Give an LLM a Legal Practice Guide']
What is the impact of LLMs on copyright?,sentence,bm25,3,0.6666666666666666,0.2,2,1,5,"['3709025.3712220.pdf', '3511265.3550444.pdf', '3511265.3550444.pdf']","['If You Give an LLM a Legal Practice Guide', ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity"", ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity""]"
What is the impact of LLMs on copyright?,sentence,bm25,5,0.4,0.2,2,1,5,"['3709025.3712220.pdf', '3511265.3550444.pdf', '3511265.3550444.pdf', '3709025.3712220.pdf', '3709025.3712220.pdf']","['If You Give an LLM a Legal Practice Guide', ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity"", ""Formalizing Human Ingenuity: A Quantitative Framework for Copyright Law's Substantial Similarity"", 'If You Give an LLM a Legal Practice Guide', 'If You Give an LLM a Legal Practice Guide']"
What is the impact of LLMs on copyright?,sentence,hybrid,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,sentence,hybrid,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3709025.3712208.pdf', '3614407.3643707.pdf']","['Artificial Infringement', 'Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,sentence,hybrid,5,1.0,0.4,5,2,5,"['3709025.3712208.pdf', '3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","['Artificial Infringement', 'Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,semantic,similarity,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,semantic,similarity,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,semantic,similarity,5,1.0,0.6,5,3,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643696.pdf', '3614407.3643696.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Talkin' 'Bout AI Generation"", ""Talkin' 'Bout AI Generation""]"
What is the impact of LLMs on copyright?,semantic,mmr,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,semantic,mmr,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3614407.3643696.pdf', '3614407.3643696.pdf']","['Artificial Infringement', ""Talkin' 'Bout AI Generation"", ""Talkin' 'Bout AI Generation""]"
What is the impact of LLMs on copyright?,semantic,mmr,5,1.0,0.6,5,3,5,"['3709025.3712208.pdf', '3614407.3643696.pdf', '3614407.3643696.pdf', '3709025.3712208.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Talkin' 'Bout AI Generation"", ""Talkin' 'Bout AI Generation"", 'Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,semantic,with_scores,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,semantic,with_scores,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,semantic,with_scores,5,1.0,0.6,5,3,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643696.pdf', '3614407.3643696.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Talkin' 'Bout AI Generation"", ""Talkin' 'Bout AI Generation""]"
What is the impact of LLMs on copyright?,semantic,bm25,1,0.0,0.0,0,0,5,['3709025.3712216.pdf'],['Generating Case-Based Legal Arguments with LLMs']
What is the impact of LLMs on copyright?,semantic,bm25,3,0.0,0.0,0,0,5,"['3709025.3712216.pdf', '3709025.3712220.pdf', '3709025.3712220.pdf']","['Generating Case-Based Legal Arguments with LLMs', 'If You Give an LLM a Legal Practice Guide', 'If You Give an LLM a Legal Practice Guide']"
What is the impact of LLMs on copyright?,semantic,bm25,5,0.2,0.2,1,1,5,"['3709025.3712216.pdf', '3709025.3712220.pdf', '3709025.3712220.pdf', '3709025.3712208.pdf', '3709025.3712220.pdf']","['Generating Case-Based Legal Arguments with LLMs', 'If You Give an LLM a Legal Practice Guide', 'If You Give an LLM a Legal Practice Guide', 'Artificial Infringement', 'If You Give an LLM a Legal Practice Guide']"
What is the impact of LLMs on copyright?,semantic,hybrid,1,1.0,0.2,1,1,5,['3709025.3712208.pdf'],['Artificial Infringement']
What is the impact of LLMs on copyright?,semantic,hybrid,3,1.0,0.4,3,2,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development""]"
What is the impact of LLMs on copyright?,semantic,hybrid,5,1.0,0.6,5,3,5,"['3709025.3712208.pdf', '3614407.3643707.pdf', '3614407.3643707.pdf', '3614407.3643696.pdf', '3614407.3643696.pdf']","['Artificial Infringement', ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Break It 'Til You Make It: An Exploration of the Ramifications of Copyright Liability Under a Pre-training Paradigm of AI Development"", ""Talkin' 'Bout AI Generation"", ""Talkin' 'Bout AI Generation""]"
